,pitch_type,fastball,start_speed,zone,code,type,b_score,p_score,ab_id,pitch_num,b_count,s_count,outs,on_1b,on_2b,on_3b,event,inning,left_batter,top,weather,start_time,year,day_game,b_0,b_1,b_2,b_3,s_0,s_1,s_2,o_0,o_1,o_2,s_over_b,b_over_s,on_2b3b,inning_sq_root,after_4_inning,after_5_inning,firstball,first2ball,abs_diff,diff,tie,ahead,behind,tempature,more_than_70,last_pitch_type,last_fastball,last_code,last_type,last_b,last_s,last_inplay,last_contact,last_pitch,last_run,last_in_play_out,last_pa,last_num,game_pitch,last_over_9,over_30_pitches,last_pa_homerun,last_pa_double_triple,last_pa_long,last_pa_so,last_pa_bb,last_pa_dp,last_pa_out
35,SL,0,84.4,4.0,C,S,0,0,2015000653,1,0,0,0,0,0,0,Groundout,4,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2.0,1,0,1,1,0,0,1,0,0,76,1,CU,0,X,X,0,0,1,1,X,0,0,Groundout,2,35,0,1,0,0,0,0,0,0,1
36,SL,0,84.5,14.0,B,B,0,0,2015000653,2,0,1,0,0,0,0,Groundout,4,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2.0,1,0,0,1,0,0,1,0,0,76,1,SL,0,C,S,0,1,0,0,S,0,0,Groundout,2,35,0,1,0,0,0,0,0,0,1
37,FF,1,92.5,9.0,C,S,0,0,2015000653,3,1,1,0,0,0,0,Groundout,4,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2.0,1,0,0,0,0,0,1,0,0,76,1,SL,0,B,B,1,0,0,0,B,0,0,Groundout,2,35,0,1,0,0,0,0,0,0,1
38,FF,1,94.7,13.0,X,X,0,0,2015000653,4,1,2,0,0,0,0,Groundout,4,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2.0,1,0,0,0,0,0,1,0,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Groundout,2,35,0,1,0,0,0,0,0,0,1
39,CU,0,78.4,14.0,B,B,0,0,2015000654,1,0,0,1,0,0,0,Pop Out,4,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2.0,1,0,1,1,0,0,1,0,0,76,1,FF,1,X,X,0,0,1,1,X,0,0,Groundout,4,39,0,1,0,0,0,0,0,0,1
40,FF,1,92.8,11.0,X,X,0,0,2015000654,2,1,0,1,0,0,0,Pop Out,4,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,1,0,0,0,1,0,0,1,0,2.0,1,0,0,1,0,0,1,0,0,76,1,CU,0,B,B,1,0,0,0,B,0,0,Groundout,4,39,0,1,0,0,0,0,0,0,1
41,SL,0,83.5,5.0,F,S,0,0,2015000655,1,0,0,2,0,0,0,Groundout,4,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2.0,1,0,1,1,0,0,1,0,0,76,1,FF,1,X,X,0,0,1,1,X,0,0,Pop Out,2,41,0,1,0,0,0,0,0,0,1
42,FF,1,93.7,12.0,B,B,0,0,2015000655,2,0,1,2,0,0,0,Groundout,4,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,0,0,1,1,0,0,2.0,1,0,0,1,0,0,1,0,0,76,1,SL,0,F,S,0,1,0,1,S,0,0,Pop Out,2,41,0,1,0,0,0,0,0,0,1
43,FF,1,93.8,13.0,C,S,0,0,2015000655,3,1,1,2,0,0,0,Groundout,4,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2.0,1,0,0,0,0,0,1,0,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Pop Out,2,41,0,1,0,0,0,0,0,0,1
44,FF,1,94.7,2.0,F,S,0,0,2015000655,4,1,2,2,0,0,0,Groundout,4,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2.0,1,0,0,0,0,0,1,0,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Pop Out,2,41,0,1,0,0,0,0,0,0,1
45,FF,1,94.8,7.0,X,X,0,0,2015000655,5,1,2,2,0,0,0,Groundout,4,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2.0,1,0,0,0,0,0,1,0,0,76,1,FF,1,F,S,0,1,0,1,S,0,0,Pop Out,2,41,0,1,0,0,0,0,0,0,1
46,FF,1,90.7,13.0,C,S,0,1,2015000660,1,0,0,0,0,0,0,Flyout,5,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2.23606797749979,1,1,1,1,1,1,0,1,0,76,1,FF,1,X,X,0,0,1,1,X,0,0,Groundout,5,46,0,1,0,0,0,0,0,0,1
47,FF,1,91.5,14.0,B,B,0,1,2015000660,2,0,1,0,0,0,0,Flyout,5,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2.23606797749979,1,1,0,1,1,1,0,1,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Groundout,5,46,0,1,0,0,0,0,0,0,1
48,CH,0,84.1,13.0,X,X,0,1,2015000660,3,1,1,0,0,0,0,Flyout,5,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2.23606797749979,1,1,0,0,1,1,0,1,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Groundout,5,46,0,1,0,0,0,0,0,0,1
49,SL,0,83.4,1.0,C,S,0,1,2015000661,1,0,0,1,0,0,0,Strikeout,5,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2.23606797749979,1,1,1,1,1,1,0,1,0,76,1,CH,0,X,X,0,0,1,1,X,0,0,Flyout,3,49,0,1,0,0,0,0,0,0,1
50,FF,1,93.3,5.0,S,S,0,1,2015000661,2,0,1,1,0,0,0,Strikeout,5,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,0,1,0,1,0,0,2.23606797749979,1,1,0,1,1,1,0,1,0,76,1,SL,0,C,S,0,1,0,0,S,0,0,Flyout,3,49,0,1,0,0,0,0,0,0,1
51,FF,1,95.1,5.0,S,S,0,1,2015000661,3,0,2,1,0,0,0,Strikeout,5,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,0,1,0,1,0,1,0,0,2.23606797749979,1,1,0,0,1,1,0,1,0,76,1,FF,1,S,S,0,1,0,0,S,0,0,Flyout,3,49,0,1,0,0,0,0,0,0,1
52,FF,1,92.4,14.0,B,B,0,1,2015000662,1,0,0,2,0,0,0,Strikeout,5,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2.23606797749979,1,1,1,1,1,1,0,1,0,76,1,FF,1,S,S,0,1,0,0,S,0,0,Strikeout,3,52,0,1,0,0,0,1,0,0,1
53,SL,0,85.3,8.0,S,S,0,1,2015000662,2,1,0,2,0,0,0,Strikeout,5,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2.23606797749979,1,1,0,1,1,1,0,1,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Strikeout,3,52,0,1,0,0,0,1,0,0,1
54,FF,1,93.1,5.0,F,S,0,1,2015000662,3,1,1,2,0,0,0,Strikeout,5,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2.23606797749979,1,1,0,0,1,1,0,1,0,76,1,SL,0,S,S,0,1,0,0,S,0,0,Strikeout,3,52,0,1,0,0,0,1,0,0,1
55,SL,0,86.0,14.0,S,S,0,1,2015000662,4,1,2,2,0,0,0,Strikeout,5,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2.23606797749979,1,1,0,0,1,1,0,1,0,76,1,FF,1,F,S,0,1,0,1,S,0,0,Strikeout,3,52,0,1,0,0,0,1,0,0,1
56,FF,1,91.8,5.0,C,S,0,1,2015000666,1,0,0,0,0,0,0,Flyout,6,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2.449489742783178,1,1,1,1,1,1,0,1,0,76,1,SL,0,S,S,0,1,0,0,S,0,0,Strikeout,4,56,0,1,0,0,0,1,0,0,1
57,SL,0,85.4,3.0,X,X,0,1,2015000666,2,0,1,0,0,0,0,Flyout,6,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2.449489742783178,1,1,0,1,1,1,0,1,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Strikeout,4,56,0,1,0,0,0,1,0,0,1
58,FF,1,89.3,14.0,B,B,0,1,2015000667,1,0,0,1,0,0,0,Strikeout,6,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2.449489742783178,1,1,1,1,1,1,0,1,0,76,1,SL,0,X,X,0,0,1,1,X,0,0,Flyout,2,58,0,1,0,0,0,0,0,0,1
59,FF,1,91.1,7.0,C,S,0,1,2015000667,2,1,0,1,0,0,0,Strikeout,6,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,1,0,0,0,1,0,0,1,0,2.449489742783178,1,1,0,1,1,1,0,1,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Flyout,2,58,0,1,0,0,0,0,0,0,1
60,SL,0,85.1,11.0,B,B,0,1,2015000667,3,1,1,1,0,0,0,Strikeout,6,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2.449489742783178,1,1,0,0,1,1,0,1,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Flyout,2,58,0,1,0,0,0,0,0,0,1
61,FF,1,92.7,11.0,F,S,0,1,2015000667,4,2,1,1,0,0,0,Strikeout,6,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.449489742783178,1,1,0,0,1,1,0,1,0,76,1,SL,0,B,B,1,0,0,0,B,0,0,Flyout,2,58,0,1,0,0,0,0,0,0,1
62,SL,0,85.7,11.0,S,S,0,1,2015000667,5,2,2,1,0,0,0,Strikeout,6,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2.449489742783178,1,1,0,0,1,1,0,1,0,76,1,FF,1,F,S,0,1,0,1,S,0,0,Flyout,2,58,0,1,0,0,0,0,0,0,1
63,FF,1,93.0,11.0,B,B,0,1,2015000668,1,0,0,2,0,0,0,Walk,6,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2.449489742783178,1,1,1,1,1,1,0,1,0,76,1,SL,0,S,S,0,1,0,0,S,0,0,Strikeout,5,63,0,1,0,0,0,1,0,0,1
64,CH,0,84.8,8.0,B,B,0,1,2015000668,2,1,0,2,0,0,0,Walk,6,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2.449489742783178,1,1,0,1,1,1,0,1,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Strikeout,5,63,0,1,0,0,0,1,0,0,1
65,FF,1,93.5,11.0,B,B,0,1,2015000668,3,2,0,2,0,0,0,Walk,6,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2.449489742783178,1,1,0,0,1,1,0,1,0,76,1,CH,0,B,B,1,0,0,0,B,0,0,Strikeout,5,63,0,1,0,0,0,1,0,0,1
66,FF,1,91.6,11.0,B,B,0,1,2015000668,4,3,0,2,0,0,0,Walk,6,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,0,0,1,1,0,0,0,0,1,0,1,0,2.449489742783178,1,1,0,0,1,1,0,1,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Strikeout,5,63,0,1,0,0,0,1,0,0,1
